Michaela, Michael
Rallie, Rally
Arlia, Arleas
Mildred, Milford
Rolynne, Roland
Dewdrop, Duderopp
Crastine, Craster
Tolmegara, Tolmeg
Purpa, Purple
Gangrene, Gangrun
Ichabodice, Ichabod
Molly, Mollusk
Buttes, Buttons
Briny, Brony
Jaffa, Jeff
Templetine, Templeton
Maria, Mario
Lugia, Luigi
Penancy, Penance
Peggy, Pog
Ema, Emo
Raptara, Raptor
Spectra, Spectre
Domina, Domino
Didley, Dudley
Abedna, Abed
Tara, Tarren
Dilemma, Dilem
Fizzy, Fuzzy
Blandie, Blander
Barbikyu, Barbokos
Solisse, Solace
Maytee, Mighty
Juniper, Jupiter
Haggy, Hoggy
Weslynne, Wesley
Gatyra, Gator
Partigad, Partigod
Kriegra, Krieger
Incestra, Incestor
Mistanga, Mustang
Alba, Albus
Gladys, Gladius
Fedora, Fedorus
Kavine, Kevin
Ann, Anos
Piersynne, Pierce
Shirley, Shurlo
Treya, Troy
Craega, Craig
Bannie, Ben
Iana, Ian
Bazz, Buzz
Muriel, Mureol
Naille, Neil
Magnitette, Magnitude
Andrea, Andre
Deandra, Dean
Yevette, Yevon
Kimbette, Kombat
Dawn, Donald
Toni, Tony
Sandra, Sanders
Malory, Mal
Cyrilla, Cyril
Lana, Lone
Starling, Sterling
Katya, Kato
Gnastina, Gnasty
Archess, Archer
Tetaniss, Tetanus
Dramsola, Drumsolo
Justice, Justoss
Berrie, Barry
Fortaleza, Fort
Batmin, Batman
Robata, Roboto
Comette, Comet
Aelyn, Aelin
Andi, Andy
Barbisby, Bartelsby
Francine, Francis
Fluffy, Fluffles
Wanda, Wander
Endra, Ender
Sylrad, Soulrod
Grenadine, Grenade
Bagel, Bogul
Slava, Slov
Jayne, J
Bish, Bush
Despair, Desperado
Stevia, Steve
Jessica, Jesse
Olivia, Oliver
Spira, Spyro
Bab, Bob
Harriet, Harry
Phyllis, Phil
Hallie, Hal
Lakisha, Laike
Dana, Dan
Tipsy, Topsy
Skrillexa, Skrillex
Spanny, Spoony
Gambi, Gumby
Sparkle, Sporkle
Gabrielle, Gabriel
Dalamine, Dolemite
Grizzlyne, Grozzly
Wittsy, Watts
Jistra, Jester
Joelle, Joel
Dauntless, Daunter
Merissa, Meris
Kida, Kudo
Naknik, Niknak
Donna, Dino
Daria, Dario
Hermione, Herman
Melissa, Mel
Scotia, Scott
Effie, Effret
Binky, Bonky
Carmen, Cameron
Nadia, Nidei
Harrissa, Harrison
Moon, Mook
Ursula, Usurper
Glacia, Glae
Galim, Golem
Grendaille, Grendel
Pearl, Purel
Jackie, Jak
Tabia, Tobias
Tulip, Tolup
Scala, Scole
Regina, Reginald
Pippy, Pappy
Zaggie, Ziggy
Blossom, Blozom
